technology,carrier,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
ASU,electricity,4068.7771935814203,4068.7771935814203,3997.967358180299,3962.5624404759114,3927.157522775868,3891.752605072929,3856.347687372058,3820.9427696664293,3785.5378519692813,3750.132934266135,3714.728016565471,3742.836328753829,3707.4314110529576,3672.026493351301,3636.621575649706,3802.8967517473334,3766.9431974601544,3731.5361879657908,3696.1291784732884,3660.722168977684,3625.3300651831,3589.937961385001,3554.5480027445387,3525.8594799176894,3490.5844629176263,3484.3389774296834,3475.1548165728336
BF_BOF,coal,96440.80336073742,93979.01448,91508.07321310615,89037.54399324956,86567.01477339365,84096.48555353704,81625.95633368044,79155.42711382384,76683.43196590616,74210.30000590616,71822.32598151111,70161.14032954698,68552.12139089784,67104.40762733742,65754.45934535116,63879.09772860539,63717.762655721934,63718.5331926823,63765.36276604076,63713.65182467965,61862.3686850311,60664.08874655599,60162.91081683462,59725.031336747496,58990.77637724695,56517.64441724695,54122.7348845653
BF_BOF,iron_ore,169389.61615924395,165065.70492,160725.71833584033,156386.45547532296,152047.1926148068,147707.92975428942,143368.66689377205,139029.40403325472,134687.5664016557,130343.7320616557,126149.46999316695,123231.7464762556,120405.6491096539,117862.86980699009,115491.80679888603,112197.90242075562,111914.53184402443,111915.88522304456,111998.13716599467,111907.31153821938,108655.69884422129,106551.02767023297,105670.7536141839,104901.65760428728,103612.0046626004,99268.1703226004,95061.72665622369
BF_BOF,limestone,33383.35500948603,32531.19732,31675.87149684444,30820.68830535562,29965.50511386703,29110.321922378207,28255.138730889386,27399.955539400562,26544.26491127521,25688.180771275212,24861.57437821538,24286.548575612418,23729.580481464636,23228.44879407834,22761.15900416002,22111.995367594172,22056.148611596054,22056.41533592849,22072.625572860263,22054.725631619876,21413.896852510767,20999.107643038613,20825.62297505814,20674.049308874135,20419.88413058548,19563.79999058548,18734.792844657222
BF_BOF,scrap,15455.256948836124,15060.7395,14664.755322613166,14268.837178405378,13872.9190341977,13477.000889989911,13081.082745782121,12685.164601574334,12289.011532997782,11892.676282997783,11509.988138062676,11243.772488709452,10985.91688956696,10753.91147873997,10537.573613037046,10237.034892404708,10211.179912775951,10211.303396263189,10218.808135583455,10210.521125749943,9913.84113542165,9721.809093999358,9641.492118082471,9571.319124478765,9453.65006045624,9057.31481045624,8673.515205859825
BF_BOF_CCS,electricity,0.0,0.0,0.0,11434.792706894865,11955.69750456593,12517.937051730243,14572.005202437524,14572.005202437524,14572.005202437524,14564.900272997036,14536.38563030696,14533.342247807224,14517.336028153088,14509.32838946885,14509.022393961046,24065.124377855438,24200.797014635235,24236.62324291474,24251.59392720103,24240.97579593881,23628.489872296068,23127.281885061453,22939.320116205043,22786.29517468635,22483.72343959005,21533.84403819885,20583.96463680765
DAC,electricity,0.0,0.0,0.00937694417252142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.318566017168678,27.318566017168678,4619.296257551355,23329.15052039811,23329.23859241422,23329.23859241422,23329.602178390527,23242.674686874925,23242.674686874925,23243.055839581957,23243.03827285123,23334.816699117167,23192.962017822876,23199.99213968938
DRI,iron_ore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8212314387570674,8.973254578503884,40.580299044640284,1306.8168146635705,3213.194441374455,5077.727802363649,6779.526554656838,8396.836180579312,10387.79041915801,9879.044359083877,9099.625161489235,8211.59566050821,7394.531574820553,9595.048718460102,10761.358043678103,10785.939399311905,10706.849255756157,11117.431773190976,14371.71988978026,17498.67459609754
DRI,natural_gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4179274946536746,16.840217496644275,76.15754752213314,2452.519227519304,6030.24162285343,9529.434368819451,12723.221068328588,15758.44598273104,19494.894348282844,18540.124345130014,17077.378727726373,15410.80281492637,13877.408571923504,18007.14622505526,20195.97331484795,20242.10544802371,20093.67600052868,20864.221272974846,26971.583902738297,32839.978351580314
EAF,direct_reduced_iron,52917.94404530749,56074.0836359965,59583.49554462464,62921.609943069445,66259.72434154668,69597.83873992928,72935.95313840739,76274.06753685746,79614.06133019018,82955.51257493325,86187.78697915106,88488.281418776,90721.89545672297,92748.70798804867,94650.18015848086,97225.2591683352,97602.86825010485,97772.6496270131,97883.38095720457,98120.44628061663,100664.65544802547,102371.681024238,103184.98607626448,103917.13926989766,105029.26102686912,108370.7122714878,111611.87835308019
EAF,electricity,44451.0729980583,47102.23025423706,50050.13625748469,52854.15235217834,55658.1684468992,58462.1845415406,61266.200636262205,64070.21673096026,66875.81151735975,69682.63056294393,72397.7410624869,74330.15639177184,76206.39218364729,77908.91470996088,79506.15133312393,81669.21770140156,81986.40933008806,82129.02568669099,82222.04000405184,82421.17487571796,84558.31057634139,85992.21206035992,86675.38830406216,87290.39698671403,88224.57926257006,91031.39830804976,93753.97781658736
SMR,natural_gas,466502.24015909503,462981.2433692404,467859.3155547367,460477.0113068547,453450.60065846244,442569.48749545246,427390.16686169204,407881.75770279503,387892.676051058,364812.60536441806,338635.4284933786,337909.3653544562,335749.95320404024,332722.7773383653,328899.2318834496,316174.66049452184,306128.2292043029,308113.2494992209,309970.3303849911,310143.9006978867,269986.17446981545,264011.1255957241,257320.486167746,256662.52684996443,256705.34609998518,204036.78434496245,181886.7613262736
SMR_CCS,natural_gas,4118.337081976012,4204.4161072014,5727.36605608828,14897.399429292771,23158.924568123934,36287.35492677926,52098.653953283916,64446.68828712743,76484.49545244002,87341.57234977031,93314.74842283457,93489.66348949574,93587.94231242435,93838.79065416905,93848.03176906767,93988.54880870479,91845.47475850202,91845.47475850202,91854.71587340065,91852.59861215139,91827.3753131733,91751.68161224143,91750.32857152735,91675.75602163815,91633.99431264456,138864.75356478253,156969.80120121967
anaerobic_digestion,wet_biomass,1217.0341231710622,1532.5717359945234,1755.7311240961435,2606.7955498835145,4078.902094246026,11233.835748948513,34716.61157065248,41899.21377274758,50714.80116780384,56696.93249022414,64074.50895315746,64835.70217599097,65647.82777686369,65838.78884996852,66038.74471032046,66072.77871889342,66040.86741432291,65987.66947412681,65901.50929128595,65804.69917721073,158711.92053771962,159223.68430316617,159688.14459542348,160082.2899813729,160329.3454736949,160581.4374904002,161156.1146569542
biomass_to_coal_conversion,biomass_cement,76804.00599904348,77619.23668509093,78391.01827520528,79151.58392510412,79912.14957499893,80672.71522489373,81433.28087479564,82106.7645363591,82780.24819792381,83453.73185949892,84127.21552106501,84800.69918263059,85474.18284418406,86084.69501932994,86675.59604016715,87266.49706100601,87857.39808185109,88548.5434833502,89239.68888483188,89930.83428636251,90621.97968784507,91313.1250893363,92004.27049085118,92695.41589233986,93386.56129384694,93884.07929070407,94377.89441858434
